file,record,offset,type,speaker,node,tokens,bytes_used,max_bytes,chinese,english
game10.msg,2,0x0000022B,dialogue,0,4,,48,236,你媽媽是個大美人，她的容貌卻給自己帶來悲傷，唉！,"Your mother is a great beauty, but her looks only ever brought her sorrow. Ah..."
game10.msg,3,0x00000328,dialogue,1,5,,102,236,為什麼我沒有父親？他到底是生還是死？就算是死了，我也該到他的墓前表達我的心意，我到底是不是我媽媽生的？,"Why do I have no father? Is he alive or dead? Even if he is dead, I should stand at his grave and say what I feel. Am I even my mother's son?"
game10.msg,4,0x00000425,dialogue,0,0,,16,236,好了！不多說了！,Enough. Let us say no more.
game10.msg,5,0x00000522,dialogue,0,7,,82,236,不好了！在你媽媽走過之後，通往殘慟谷的聯外道路因落石坍方而不能進出，這該如何是好？,"Bad news. After your mother left, the road out to the Vale of Grief was buried by a rockslide. Nothing can get through. What are we going to do?"
game10.msg,6,0x0000061F,dialogue,1,0,,30,236,大嬸別擔心！我這就去告訴村長。,"Do not worry, ma'am. I will go and tell the village chief."
game10.msg,7,0x0000071C,dialogue,0,9,,174,236,我老了！我的人生每一天都是痛苦的旅程，我看著老天爺的臉色過活，我渡過祈求天降甘霖的日子，我走過乾旱的大地，但這些人卻令我生不如死，也許，當我的生命走到盡頭，我會帶著笑容離去！,"I am old. Every day of my life is a painful journey. I lived at heaven's mercy, prayed for rain, crossed parched land. But these people make death kinder. Maybe I'll die smiling."
game10.msg,8,0x00000819,dialogue,1,0,,20,236,你說的話令我很難過！,What you say makes me very sad.
game10.msg,9,0x00000916,dialogue,0,0,,84,236,因為殘慟谷遭到我們的過度濫墾及濫伐，前天的一場大雨造成山崩，還好沒有危害到我們村子。,The Vale of Grief was stripped bare by our own clearing and logging. The heavy rain two days ago brought the hillside down. At least our village was spared.
game10.msg,10,0x00000A13,dialogue,0,0,,70,236,這個國家再也沒有魔法師了，聽說摩羅王已經剷除這些他所謂的超級恐怖份子！,There are no magicians left in this country. They say King Moro has wiped out every one of the men he called super-terrorists.
game102.msg,0,0x00000031,dialogue,0,2,,58,236,我走在宣恩城的街上，寂寞地走著，我的心情沈重，卻不想逃避。,"I walk the streets of Xuan'en City, walking alone, my heart heavy, and yet I do not want to run from it."
game102.msg,1,0x0000012E,dialogue,0,3,,56,236,麻雀飛過樹梢，白雲飄過藍天，春風輕輕吹起，一天不如一天。,"Sparrows cross the treetops, white clouds drift over the blue sky, the spring wind rises softly, and each day is worse than the last."
game102.msg,2,0x0000022B,dialogue,0,0,,22,236,天天快樂！啦‧啦‧啦！,Happy every day! La... la... la!
game102.msg,3,0x00000328,dialogue,0,5,,36,236,如果說我們不能相遇，又何必擁有今天！,"If we were never meant to meet, why have today at all?"
game102.msg,4,0x00000425,dialogue,1,0,,20,236,明天也不一定會相遇！,We may not meet tomorrow either.
game102.msg,5,0x00000522,dialogue,0,0,,14,236,我們又見面了！,We meet again.
game102.msg,6,0x0000061F,dialogue,0,8,,46,236,宣恩城是父母的傷心地，幼童接二連三的失蹤，唉！,"Xuan'en City is a place of grief for parents. The little ones keep vanishing, one after another. Ah..."
game102.msg,7,0x0000071C,dialogue,0,0,,48,236,失蹤的小孩都是十歲以下，到底是不是人口販子所為？,Every missing child is under ten. Is this the work of slavers or not?
game102.msg,8,0x00000819,dialogue,0,0,,28,236,失蹤的孩童都已喪命，真可憐！,The missing children are all dead. How pitiful.
game102.msg,9,0x00000916,dialogue,0,0B,,52,236,聽說是你們鏟除窩藏在巫士廢墟的變態巫師，你們是英雄！,They say you wiped out the twisted sorcerers hiding in the Sorcerers' Ruins. You are heroes.
game102.msg,10,0x00000A13,dialogue,1,0,,18,236,我只是盡棉薄之力！,I only did what little I could.
game102.msg,11,0x00000B10,dialogue,6C,0,,36,236,我這兒有你需要的藥品，儘管看，儘管挑,"I have the medicine you need. Take a look, take your pick."
game102.msg,12,0x00000C0D,placeholder,6C,0,ＥＦ,18,236,你需要的Ｅ只有賣Ｆ,A fine choice. It sells for:  Ｅ - Ｆ
game102.msg,13,0x00000D0A,placeholder,6C,0,ＥＦ,16,236,你擁有的Ｅ只賣Ｆ,That will only fetch you this:  Ｅ - Ｆ
game103.msg,0,0x00000031,dialogue,0,2,,60,236,我的年紀一大把就這麼個兒子，他若是有個三長兩短，我就絕後了。,"I am old and have only this one son. If anything happens to him, my line ends with me."
game103.msg,1,0x0000012E,dialogue,0,0,,36,236,想到我兒子，我就夜不成眠，食不下嚥！,When I think of my son I cannot sleep at night or swallow my food.
game103.msg,2,0x0000022B,dialogue,0,4,,34,236,我最擔心的事情發生了，嗚‧嗚‧嗚！,The thing I feared most has happened. Sob... sob... sob!
game103.msg,3,0x00000328,dialogue,0,0,,38,236,老來喪子，以後誰替我們兩老送終‧‧唉！,To lose a son in old age. Who will bury the two of us now... Ah.
game103.msg,4,0x00000425,dialogue,0,6,,34,236,我每天求神拜佛祈求我兒子平安歸來！,Every day I pray to the gods and the Buddha for my son to come home safe.
game103.msg,5,0x00000522,dialogue,0,0,,30,236,只要我兒子能出現，以後我吃素！,"If only my son would appear, I would give up meat for the rest of my life."
game103.msg,6,0x0000061F,dialogue,0,8,,22,236,心慌意亂，肝腸寸斷‧‧,"My mind is in turmoil, my heart torn to pieces..."
game103.msg,7,0x0000071C,dialogue,0,0,,38,236,老來喪子，以後誰替我們兩老送終‧‧唉！,To lose a son in old age. Who will bury the two of us now... Ah.
game103.msg,8,0x00000819,dialogue,0,0A,,24,236,在片刻的靜默，相視無語！,"A moment of silence, and neither of us has a word to say."
game103.msg,9,0x00000916,dialogue,0,0B,,10,236,多說無益！,There is no use talking about it.
game103.msg,10,0x00000A13,dialogue,0,0,,32,236,邪惡法師在廢墟！鐘滑旻幗載颱豌！,The evil sorcerer is in the ruins! %$#@*&!
game103.msg,11,0x00000B10,dialogue,66,0D,,100,236,想起我孩子的一顰一笑，我就成為痛苦之王‧‧若有人將我兒帶回我身邊，我準備將珍藏已久的泊天神俑送給他。,"When I remember every look on my child's face, I become the king of pain... If anyone brings my son back to me, I will give him the Heavenbound Effigy I have treasured for years."
game103.msg,12,0x00000C0D,dialogue,1,0E,,14,236,我們會留意的。,We will keep an eye out.
game103.msg,13,0x00000D0A,dialogue,66,0,,82,236,我兒子有雙大眼睛，喜歡唱兒歌，非常的可愛活潑，等到你們以後做父母就能體會我的心情。,"My son has big eyes and loves to sing nursery rhymes. He is so lively and sweet. When you are parents yourselves, you will understand how I feel."
game103.msg,14,0x00000E07,dialogue,66,1E,,108,236,這是我兒子！以前活蹦亂跳，現在竟然動也不動‧‧天啊！嗚‧嗚‧雖然是這樣的結果，我還是謝謝你們！這是泊天神俑。,"This is my son. He used to run and jump everywhere, and now he does not move at all... God. Sob... sob... Even so, thank you. Here is the Heavenbound Effigy."
game103.msg,15,0x00000F04,dialogue,66,0,,24,236,唉！這是人生最大的創痛！,Ah. This is the deepest wound a life can take.
game103.msg,16,0x00001001,dialogue,69,12,,36,236,因為我太思念我的兒子，現已臥病在床！,I miss my son so much that I have taken to my bed sick.
game103.msg,17,0x000010FE,dialogue,69,0,,26,236,見到他，我的病才會好起來！,Only seeing him will make me well again.
game103.msg,18,0x000011FB,dialogue,69,14,,66,236,我的兒子被那些法師抓去做人體實驗，生命中為什麼總是要面對生離死別？,My son was taken by those sorcerers to be experimented on. Why must life always come down to parting and death?
game103.msg,19,0x000012F8,dialogue,1,15,,10,236,我很遺憾！,I am so sorry.
game103.msg,20,0x000013F5,dialogue,69,0,,38,236,謝謝你們帶我兒子回家，雖然是一具屍體！,"Thank you for bringing my son home, even if only his body."
game103.msg,21,0x000014F2,dialogue,6B,0,,30,236,歡迎光臨本旅店，客倌有何貴幹？,"Welcome to our inn, sir. What can I do for you?"
game103.msg,22,0x000015EF,dialogue,6B,0,,32,236,哦！休息只要２０，客倌有確定嗎？,"Oh. A room is only 20. Are you sure, sir?"
game103.msg,24,0x000017E9,dialogue,6B,1A,,18,236,希望客倌有個好夢！,"I hope you have good dreams, sir."
game103.msg,26,0x000019E3,dialogue,6B,0,,20,236,希望客倌再度光臨本店,"Please come again, sir."
game103.msg,27,0x00001AE0,dialogue,6B,0,,24,236,對不起！客倌您的錢不夠！,"I am sorry, sir. You do not have enough money."
game103.msg,33,0x000020CE,command,0,0,,10,236,MStg85.ANM,
game103.msg,34,0x000021CB,command,0,0,,10,236,MStg86.ANM,
game104.msg,0,0x00000031,dialogue,67,2,,30,236,你想幹什麼？我知道你要幹什麼！,What do you want? I know what you want.
game104.msg,1,0x0000012E,dialogue,1,3,,10,236,請說說看！,"Please, tell me."
game104.msg,2,0x0000022B,dialogue,67,4,,36,236,你心中一直有個疑問：我是不是叛國者？,One question has never left your mind: am I a traitor to my country?
game104.msg,3,0x00000328,dialogue,1,5,,6,236,‧‧‧,...
game104.msg,4,0x00000425,dialogue,67,6,,112,236,在未來的世界裡有一位名叫華盛頓的人，他的祖國視他為叛國者，但是，歷史還他清白！並不是每個政客及革命者都能獲此殊榮,"In a world yet to come there is a man called Washington. His own country called him a traitor, but history cleared his name. Not every politician or revolutionary earns that honor."
game104.msg,5,0x00000522,dialogue,67,7,,82,236,擁有高貴的知識不代表既擁有權力，唯有崇高的理想與高尚的人格才能獲得歷史的正面評價！,Noble knowledge does not mean holding power. Only high ideals and an honorable character earn a good name from history.
game104.msg,6,0x0000061F,dialogue,1,8,,14,236,謝謝你的指教！,Thank you for the lesson.
game104.msg,7,0x0000071C,dialogue,67,0D,,92,236,地上有四種顏色的燭臺，你必須放置在正確的位置，只要沒有做錯，你就能得到應該得到的，我該走了！,There are four colored candle stands on the ground. You must place them in the right positions. Get it right and you will receive what you deserve. I must go now.
game104.msg,8,0x00000819,dialogue,1,0,,50,236,得到家書！裡面寫著：弟弟，讓持有者謁見六手甲乙佛！,"You received a letter from home. It reads: Brother, let the bearer be granted audience with the Six-Armed Buddha of Jiayi."
game104.msg,9,0x00000916,dialogue,6A,0,,38,236,在宣恩城買武器就要找我，儘管看，儘管挑,"If you want weapons in Xuan'en City, come to me. Take a look, take your pick."
game104.msg,10,0x00000A13,placeholder,6A,0,ＥＦ,24,236,客人真是好眼光，Ｅ只賣Ｆ,"A fine eye, sir. The price:  Ｅ - Ｆ"
game104.msg,11,0x00000B10,placeholder,6A,0,ＥＦ,14,236,你這Ｅ只能賣Ｆ,That old thing? I can offer:  Ｅ - Ｆ
game104.msg,12,0x00000C0D,command,0,0,,10,236,MStg87.ANM,
game104.msg,14,0x00000E07,command,0,0,,10,236,MStg88.ANM,
game105.msg,0,0x00000031,dialogue,0,2,,80,236,人類毫無止境地不停的破壞造物者的奇蹟，我雖然不能預知未來，萬能的神自會做出審判。,"Mankind tears down the Creator's miracles without end. I cannot see the future, but the almighty god will pass his judgment."
game105.msg,1,0x0000012E,dialogue,0,0,,110,236,我們在此追求心靈平靜，祈求神賜予公理正義，忘記名利財富，壞事做絕的人將得不到神的赦免，別夢想花錢就能登上天堂！,"Here we seek peace of mind and pray for justice, forgetting fame and fortune. Those who do every evil will get no pardon from god. Do not dream that money buys a place in heaven."
game105.msg,2,0x0000022B,dialogue,0,4,,50,236,我相信理想國終會降臨，這個世界將在滅絕後獲得重生！,I believe the ideal kingdom will come at last. This world will be reborn after it is wiped away.
game105.msg,3,0x00000328,dialogue,0,0,,56,236,讓我們一起祈禱新世界的到來！神將挑選祂的使徒開創新世界！,Let us pray together for the new world. God will choose his apostles to build it.
game105.msg,4,0x00000425,dialogue,68,6,,122,236,肯定旁門左道的那一小撮沒人愛的巫士們正躲在潮濕的地盤，他們拿走釋聖經，寄望從神聖的教義中得到領悟，以遂行充滿邪惡的卑劣目的,"That little band of unloved sorcerers and their crooked ways hide in some damp lair. They took the Sacred Sutra, hoping holy teachings will grant insight to serve their vile ends."
game105.msg,5,0x00000522,dialogue,68,0,,56,236,神在召喚優秀的使徒悍衛祂的國度，你們願意成為神的使徒嗎？,God is calling for fine apostles to defend his kingdom. Will you become his apostles?
game105.msg,6,0x0000061F,dialogue,1,8,,30,236,我相信神！也願意成為祂的使徒！,"I believe in god, and I am willing to be his apostle."
game105.msg,7,0x0000071C,dialogue,68,9,,32,236,去巫士廢墟拿回釋聖經，奉神之名！,"Go to the Sorcerers' Ruins and bring back the Sacred Sutra, in god's name."
game105.msg,8,0x00000819,dialogue,68,0,,30,236,不能欺騙神！一定要拿回釋聖經！,You cannot lie to god. You must bring back the Sacred Sutra.
game105.msg,9,0x00000916,dialogue,68,0,,40,236,釋聖經又重回神的懷抱！你們不辱神的使命！,The Sacred Sutra has returned to god's embrace. You have honored his mission.
game105.msg,10,0x00000A13,dialogue,68,0,,20,236,你們是神的優秀使徒！,You are god's finest apostles.
game105.msg,11,0x00000B10,dialogue,1,0D,,12,236,我不相信神！,I do not believe in god.
game105.msg,12,0x00000C0D,dialogue,68,0,,18,236,神會懲罰不敬的人！,God punishes those who show no reverence.
game105.msg,13,0x00000D0A,dialogue,68,0F,,20,236,神的雙手會毀滅你們！,The hands of god will destroy you.
game105.msg,14,0x00000E07,dialogue,1,0,,6,236,狗屎！,Bullshit.
game105.msg,15,0x00000F04,dialogue,0,11,,24,236,術業有專攻，泡妞有絕招！,"Every trade has its master, and chasing girls has its tricks."
game105.msg,16,0x00001001,dialogue,0,0,,26,236,聞道有先後，泡不到別難過！,"Some learn the way sooner, some later. If you strike out, do not take it too hard."
game107.msg,5,0x00000522,dialogue,0,0,,40,236,一道打不開的門，它的鑰匙孔看起來很奇特！,A door that will not open. The keyhole looks very strange.
game11.msg,0,0x00000031,dialogue,0,2,,94,236,我看著妳踩著甜蜜的腳步，走近我等待的身影，我好想將妳擁入懷中，緊緊的抱著‧‧我絕不讓妳離開我！,"I watch you come toward me with those sweet little steps, toward the shape of me waiting. I want to pull you into my arms and hold you tight... I will never let you leave me."
game11.msg,1,0x0000012E,dialogue,0,0,,24,236,我最喜歡聽你的花言巧語！,Sweet talk is what I like best about you.
game11.msg,2,0x0000022B,dialogue,0,0,,98,236,在村的西邊就是西籬溫泉，聽說可以治療皮膚病調節全身血路，有病治病，沒病強身，有時候還可以大飽眼福。,"West of the village is the Xili Hot Spring. They say it cures skin conditions and gets the blood moving. It heals the sick and strengthens the well, and sometimes there is quite a view."
game11.msg,3,0x00000328,dialogue,0,0,,30,236,我媽媽說我不能唸書，只能放羊。,My mother says I cannot go to school. All I can do is herd the sheep.
game11.msg,4,0x00000425,dialogue,0,0,,40,236,剛剛我看到ㄧ團黑氣竄入殘慟谷，真是壯觀！,I just saw a mass of black vapor rush into the Vale of Grief. What a sight!
game111.msg,0,0x00000031,dialogue,0,0,,16,236,我相信你的誠意！,I believe you are sincere.
game111.msg,1,0x0000012E,dialogue,0,0,,16,236,我相信你的誠意！,I believe you are sincere.
game111.msg,2,0x0000022B,dialogue,0,0,,48,236,這是個供桌！兩旁的對聯寫著：心誠則靈，趕快進貢！,This is an offering table. The couplet on either side reads: a sincere heart works wonders. Make your offering now.
game112.msg,0,0x00000031,dialogue,69,2,,44,236,謝謝你們放我出來‧‧我好餓啊！讓我吃了你們！,Thank you for letting me out... I am so hungry. Let me eat you!
game112.msg,1,0x0000012E,dialogue,4,0,,6,236,休想！,Not a chance.
game112.msg,2,0x0000022B,dialogue,0,0,,12,236,找到牛馬角！,Found the Ox-Horse Horn!
game112.msg,4,0x00000425,command,0,0,,10,236,MonB8A.ANM,
game112.msg,6,0x0000061F,command,0,0,,10,236,MStg89.ANM,
game112.msg,7,0x0000071C,command,0,0,,10,236,MStg90.ANM,
game115.msg,0,0x00000031,dialogue,1,2,,48,236,這個龐大發出噪音的鐵製物品是炎灼石廟的熱力來源！,"This huge, roaring iron thing is the heat source of the Blazing Stone Temple."
game115.msg,2,0x0000022B,dialogue,1,6,,26,236,我想它再也不會發生作用了！,I do not think it will ever work again.
game115.msg,5,0x00000522,command,0,0,,10,236,MStg91.ANM,
game116.msg,1,0x0000012E,command,0,3,,11,236,MStg104.ANM,
game116.msg,2,0x0000022B,dialogue,0,5,,46,236,我們是裸體姐妹花，小夥子你好帥耶，來陪我們吧！,"We are the naked sisters. You are so handsome, boy. Come and keep us company."
game116.msg,3,0x00000328,dialogue,3,0,,8,236,啊‧‧‧,Ah...
game116.msg,4,0x00000425,command,0,6,,11,236,Stage05.FTC,
game116.msg,5,0x00000522,command,0,0,,11,236,MStg105.ANM,
game116.msg,6,0x0000061F,dialogue,0,0,,30,236,我們要玩弄你的靈魂‧‧哈‧哈‧,We are going to toy with your soul... ha... ha...
game116.msg,7,0x0000071C,placeholder,9,9,Ａ,14,236,Ａ，你還好吧？,"Ａ, are you all right?"
game116.msg,8,0x00000819,dialogue,9,0A,,26,236,糟糕了！他一點反應都沒有。,This is bad. He is not responding at all.
game116.msg,9,0x00000916,dialogue,9,0B,,22,236,他的靈魂已經被攝走了！,His soul has been taken.
game116.msg,10,0x00000A13,dialogue,9,0,,30,236,我們快去找這兩個不要臉的女人！,"We have to go after those two shameless women, now."
game116.msg,13,0x00000D0A,command,0,0,,11,236,MStg107.ANM,
game116.msg,14,0x00000E07,command,0,0,,11,236,MStg106.ANM,
game116.msg,17,0x000010FE,dialogue,3,13,,92,236,我感到一陣暈眩，接著我就不醒人事，當我回復過來後，你們都不在我身邊，我正在擔心你們就出現了！,"I felt a rush of dizziness, and then I was gone. When I came round, none of you were with me. I was starting to worry, and then you appeared."
game116.msg,18,0x000011FB,dialogue,9,14,,24,236,還說呢，是我們替你擔心！,Listen to you. We were the ones worrying about you.
game116.msg,19,0x000012F8,dialogue,9,15,,24,236,你的魂魄被痛苦使者懾走。,Your soul was taken by the Envoy of Pain.
game116.msg,20,0x000013F5,dialogue,9,16,,36,236,痛苦使者被我們打倒，才救回你的魂魄！,We brought your soul back by striking the Envoy of Pain down.
game116.msg,21,0x000014F2,dialogue,1,0,,26,236,我沒有親手殺了他真是遺憾！,It is a shame I did not kill him with my own hands.
game116.msg,22,0x000015EF,dialogue,3,18,,10,236,‧‧‧‧‧,.....
game116.msg,23,0x000016EC,dialogue,9,19,,32,236,唉！我們到現在連個線索都沒有‧‧,Ah. We still do not have a single lead...
game116.msg,24,0x000017E9,dialogue,9,1A,,36,236,他像個木頭人一動也不動，真令人難過！,He sits there like a block of wood and will not move. It is heartbreaking.
game116.msg,25,0x000018E6,dialogue,9,0,,12,236,魂魄歸來兮！,"Come back, soul!"
game116.msg,26,0x000019E3,command,0,0,,11,236,MStg108.ANM,
game117.msg,1,0x0000012E,command,0,4,,10,236,MStg92.ANM,
game117.msg,2,0x0000022B,command,0,4,,10,236,MStg93.ANM,
game117.msg,4,0x00000425,command,0,0,,10,236,MStg98.ANM,
game117.msg,5,0x00000522,command,0,0,,10,236,MStg99.ANM,
game117.msg,6,0x0000061F,dialogue,0,8,,16,236,這是一株水仙花！,This is a narcissus.
game117.msg,10,0x00000A13,command,0,0C,,10,236,MStg93.ANM,
game117.msg,14,0x00000E07,dialogue,0,0,,20,236,這是一株枯萎水仙花！,This is a withered narcissus.
game117.msg,15,0x00000F04,dialogue,0,11,,16,236,這是一株水仙花！,This is a narcissus.
game117.msg,19,0x000012F8,command,0,15,,10,236,MStg99.ANM,
game117.msg,23,0x000016EC,dialogue,0,0,,20,236,這是一株枯萎水仙花！,This is a withered narcissus.
game118.msg,1,0x0000012E,command,0,4,,10,236,MStg94.ANM,
game118.msg,2,0x0000022B,command,0,4,,10,236,MStg95.ANM,
game118.msg,4,0x00000425,command,0,0,,10,236,MStg96.ANM,
game118.msg,5,0x00000522,command,0,0,,10,236,MStg97.ANM,
game118.msg,6,0x0000061F,dialogue,0,8,,16,236,這是一株水仙花！,This is a narcissus.
game118.msg,10,0x00000A13,command,0,0C,,10,236,MStg95.ANM,
game118.msg,14,0x00000E07,dialogue,0,0,,20,236,這是一株枯萎水仙花！,This is a withered narcissus.
game118.msg,15,0x00000F04,dialogue,0,11,,16,236,這是一株水仙花！,This is a narcissus.
game118.msg,19,0x000012F8,command,0,15,,10,236,MStg97.ANM,
game118.msg,23,0x000016EC,dialogue,0,0,,20,236,這是一株枯萎水仙花！,This is a withered narcissus.
game119.msg,1,0x0000012E,command,0,4,,11,236,MStg100.ANM,
game119.msg,2,0x0000022B,command,0,4,,11,236,MStg101.ANM,
game119.msg,4,0x00000425,command,0,0,,11,236,MStg102.ANM,
game119.msg,5,0x00000522,command,0,0,,11,236,MStg103.ANM,
game119.msg,6,0x0000061F,dialogue,0,8,,16,236,這是一株水仙花！,This is a narcissus.
game119.msg,10,0x00000A13,command,0,0C,,11,236,MStg101.ANM,
game119.msg,14,0x00000E07,dialogue,0,0,,20,236,這是一株枯萎水仙花！,This is a withered narcissus.
game119.msg,15,0x00000F04,dialogue,0,11,,16,236,這是一株水仙花！,This is a narcissus.
game119.msg,19,0x000012F8,command,0,15,,11,236,MStg103.ANM,
game119.msg,23,0x000016EC,dialogue,0,0,,20,236,這是一株枯萎水仙花！,This is a withered narcissus.
game119.msg,24,0x000017E9,dialogue,6A,0,,42,236,給我潘尼羅亞茶‧‧唯有它能解我永恆的饑渴！,Give me Panneroia tea... only it can quench my endless thirst.
game119.msg,26,0x000019E3,dialogue,9,1C,,16,236,給你潘尼羅亞茶！,Here is your Panneroia tea.
game119.msg,27,0x00001AE0,dialogue,6A,1D,,146,236,謝謝你！如果你們感到徬徨無助，拿著約書亞樹枝到蘇格禮找位叫阿里的彫刻師，他會幫你們做枯萎豎笛，用枯萎豎笛枯萎此地所有的水仙花，或許對你們有所幫助！,"Thank you. If you feel lost, take a Joshua tree branch to Sugeli and find a carver named Ali. He will make you a withering clarinet. Use it to wither every narcissus here. It may help."
game119.msg,28,0x00001BDD,dialogue,9,0,,18,236,這是個有用的消息！,That is useful to know.
game119.msg,29,0x00001CDA,dialogue,6A,0,,16,236,我依然感到饑渴！,I am thirsty still.
game119.msg,30,0x00001DD7,dialogue,9,20,,18,236,我沒有潘尼羅亞茶！,I do not have any Panneroia tea.
game119.msg,31,0x00001ED4,dialogue,6A,0,,18,236,我會繼續饑渴下去！,Then I will go on being thirsty.
game119.msg,33,0x000020CE,dialogue,0,0,,10,236,找到子燭！,Found the Child Candle!
game12.msg,0,0x00000031,dialogue,0,0,,146,236,生活本來就是平凡的！偏偏有人非對現實不滿，知足才能常樂，像我每天餓著肚子，懷抱著感恩的心情誠實納稅，不問摩羅王做了什麼，要問我們為摩羅王做了什麼！,Life is plain by nature. Some just have to resent it. Contentment is happiness. I go hungry and still pay my taxes gladly. Ask not what King Moro did for us; ask what we did for him.
game12.msg,1,0x0000012E,dialogue,1,0,,64,236,與君一席話，勝讀十年書！讓我們與摩羅王攜手並進，共創美好的未來！,One talk with you is worth ten years of study. Let us walk hand in hand with King Moro and build a beautiful future together.
game12.msg,2,0x0000022B,dialogue,0,4,,26,236,你這個從頭賤到腳的賤骨頭！,"You are rotten to the bone, from your head right down to your feet."
game12.msg,3,0x00000328,dialogue,1,0,,30,236,樂天知命，面對現實就是賤骨頭？,So being content with my lot and facing reality makes me rotten?
game12.msg,4,0x00000425,dialogue,0,6,,108,236,有權就會有錢！有錢就會有權！我的能力強，家世好，見人說人話，見鬼說鬼話！看在你媽媽的份上，我才跟你說這些話！,"Power brings money and money brings power. I am able, I come from a good family, and I know what to say to anyone, man or devil. I only tell you this for your mother's sake."
game12.msg,5,0x00000522,dialogue,1,7,,6,236,放屁！,What crap.
